stop_id,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,level_id,platform_code,asw_node_id,asw_stop_id,zone_region_type
U1Z1P,"Boletická",50.132732,14.513702,"P",,0,,0,,A,1,1,1
U1Z2P,"Boletická",50.133011,14.513584,"P",,0,,0,,B,1,2,1
U3Z1P,"Břetislavka",50.123241,14.389533,"P",,0,,0,,A,3,1,1
U3Z1,"Břetislavka",50.123241,14.389533,"B",,0,,0,,A,3,1,1
U3Z2P,"Břetislavka",50.123013,14.389885,"P",,0,,0,,B,3,2,1
U3Z2,"Břetislavka",50.123013,14.389885,"B",,0,,0,,B,3,2,1
U4Z1P,"Arbesovo náměstí",50.076248,14.404202,"P",,0,,1,,A,4,1,1
U4Z2P,"Arbesovo náměstí",50.075886,14.403978,"P",,0,,1,,B,4,2,1
U4Z3P,"Arbesovo náměstí",50.076405,14.405704,"P",,0,,0,,C,4,3,1
U4Z4P,"Arbesovo náměstí",50.076561,14.405448,"P",,0,,0,,D,4,4,1
U5Z1P,"Nové Vokovice",50.100658,14.340714,"P",,0,,0,,A,5,1,1
U5Z2P,"Nové Vokovice",50.100548,14.340827,"P",,0,,0,,B,5,2,1
U6Z1P,"Dolnokřeslická",50.024277,14.560534,"P",,0,,0,,A,6,1,1
U6Z2P,"Dolnokřeslická",50.024208,14.560828,"P",,0,,0,,B,6,2,1
U9Z1,"Baba I",49.997932,14.415079,"0",,0,,0,,A,9,1,1
U9Z2,"Baba I",49.998573,14.415114,"0",,0,,0,,B,9,2,1
U10Z1,"Baba II",49.999592,14.415260,"0",,0,,0,,A,10,1,1
U10Z2,"Baba II",49.999565,14.414884,"0",,0,,0,,B,10,2,1
U11Z1P,"Násirovo náměstí",50.001514,14.421580,"P",,0,,0,,A,11,1,1
U11Z2P,"Násirovo náměstí",50.001251,14.421651,"P",,0,,0,,B,11,2,1
U12Z1P,"Balabenka",50.104755,14.482805,"P",,0,,1,,A,12,1,1
U12Z2P,"Balabenka",50.104343,14.481877,"P",,0,,1,,B,12,2,1
U12Z3P,"Balabenka",50.104233,14.482921,"P",,0,,1,,C,12,3,1
U12Z6P,"Balabenka",50.103462,14.482788,"P",,0,,0,,F,12,6,1
U12Z7P,"Balabenka",50.103317,14.482548,"P",,0,,0,,G,12,7,1
U13Z1P,"Balkán",50.095402,14.496265,"P",,0,,0,,A,13,1,1
U13Z2P,"Balkán",50.094204,14.496226,"P",,0,,0,,B,13,2,1
U14Z1P,"Baně",49.952576,14.379086,"P",,0,,0,,A,14,1,1
U14Z2P,"Baně",49.952782,14.379204,"P",,0,,0,,B,14,2,1
U14Z2,"Baně",49.952782,14.379204,"B",,0,,0,,B,14,2,1
U15Z1P,"Baterie",50.092392,14.369829,"P",,0,,1,,A,15,1,1
U15Z2P,"Baterie",50.092400,14.369411,"P",,0,,1,,B,15,2,1
U16Z1P,"Basilejské náměstí",50.087063,14.470554,"P",,0,,0,,A,16,1,1
U16Z2P,"Basilejské náměstí",50.087315,14.471287,"P",,0,,0,,B,16,2,1
U17Z1P,"Lehárova",50.008736,14.406289,"P",,0,,0,,A,17,1,1
U17Z2P,"Lehárova",50.009029,14.405209,"P",,0,,0,,B,17,2,1
U18Z1P,"Bazar",50.098793,14.671629,"P",,0,,0,,A,18,1,1
U18Z1,"Bazar",50.098793,14.671629,"B",,0,,0,,A,18,1,1
U18Z2P,"Bazar",50.098709,14.671303,"P",,0,,0,,B,18,2,1
